Word          Count
===================
The              53
Project          78
Gutenberg        21
EBook             2
of              300
Alice           101
in              211
Wonderland,       2
by               44
Lewis             3
Carroll           3
This             12
eBook             5
is               52
for              61
the             732
use              11
anyone            5
anywhere          2
at               85
no               28
cost              2
and             362
with            111
almost            3
restrictions      2
whatsoever.       2
You              13
may              18
copy              8
it,              12
give              6
it              122
away             11
or              103
re-use            2
under            15
terms            19
License           8
included          2
this             65
online            4
www.gutenberg.org 2
Title:            1
Wonderland        1
Author:           1
Illustrator:      1
Gordon            1
Robinson          1
Release           1
Date:             1
August            1
12,               1
2006              1
[EBook            1
#19033]           1
Language:         1
English           1
***               6
START             1
OF               12
THIS              5
PROJECT           4
GUTENBERG         3
EBOOK             2
ALICE             2
IN                6
WONDERLAND        4
Produced          2
Jason             2
Isbell,           2
Irma              2
Spehar,           2
Online            2
Distributed       2
Proofreading      2
Team              2
http://www.pgdp.net2
[Illustration:    4
Room              1
Duchess.]         1
_THE              1
"STORYLAND"       1
SERIES_           1
ALICE'S           2
ADVENTURES        2
SAM'L             2
GABRIEL           2
SONS              2
&                 2
COMPANY           2
NEW               2
YORK              2
Copyright,        1
1916,             1
[Illustration]   22
I--DOWN           1
THE               8
RABBIT-HOLE       1
was             160
beginning         4
to              311
get              19
very             38
tired             4
sitting           6
her              92
sister            2
on               65
bank,             2
having            3
nothing           9
do.               1
Once              2
twice             1
she             197
had              64
peeped            3
into             39
book              2
reading,          1
but              33
pictures          3
conversations     1
"and             15
what             21
a               321
book,"            1
thought          15
Alice,           29
"without          1
conversations?"   1
So                8
considering       1
own               2
mind              3
(as               1
well             14
as               89
could,            3
day               3
made             11
feel              2
sleepy            2
stupid),          1
whether           4
pleasure          1
making            3
daisy-chain       1
would            11
be               54
worth             1
trouble           3
getting           6
up               39
picking           1
daisies,          1
when             32
suddenly          7
White            15
Rabbit           20
pink              1
eyes              7
ran               9
close             6
her.              6
There            16
so               27
remarkable        2
that,             2
nor               2
did              11
think            14
much             12
out              45
way              17
hear              7
say               7
itself,           3
"Oh               1
dear!             4
Oh                1
I                89
shall             5
too               9
late!"            1
But               4
actually          1
took             13
watch             2
its              25
waistcoat-pocket  1
looked           18
then             20
hurried           5
on,               5
started           2
feet,             4
flashed           1
across            5
that             90
never             9
before            7
seen              2
rabbit            1
either            5
waistcoat-pocket, 1
take              9
and,              6
burning           1
curiosity,        1
field             1
after            10
just             17
time             14
see              17
pop               1
down             44
large            21
rabbit-hole,      1
hedge.            1
In                5
another           9
moment,           4
went             21
it!               2
rabbit-hole       1
straight          1
like             32
tunnel            1
some             17
dipped            1
down,             5
not              50
moment           10
about            39
stopping          1
herself          20
found            21
falling           1
seemed           11
deep              1
well.             1
Either            1
deep,             1
fell              5
slowly,           1
plenty            1
time,             4
look              4
First,            2
tried             8
make             11
coming            2
to,               5
dark              3
anything;         1
sides             2
noticed           5
they             34
were             30
filled            1
cupboards         2
book-shelves;     1
here              7
there            10
saw               4
maps              1
hung              1
upon             17
pegs.             1
She              35
jar               1
from             30
one              32
shelves           1
passed.           1
It               14
labeled           1
"ORANGE           1
MARMALADE,"       1
but,              5
great            19
disappointment,   1
empty;            1
drop              1
jar,              1
managed           2
put               9
past              1
it.              11
Down,             1
down!             1
Would             1
fall              4
come              7
an               20
end?              1
else              2
do,               4
soon             13
began            13
talking           5
herself.          4
"Dinah'll         1
miss              1
me               20
to-night,         1
should           12
think!"           1
(Dinah            1
cat.)             1
"I               29
hope              4
they'll           2
remember          3
saucer            1
milk              1
tea-time.         1
Dinah,            2
my               18
dear,             3
wish              9
you             122
me!"              1
felt              7
dozing            1
off,              8
suddenly,         1
thump!            2
came             25
heap              1
sticks            1
dry               6
leaves,           2
over.             2
bit               6
hurt,             1
jumped            2
moment.           2
up,               3
all              68
overhead;         1
long             11
passage           2
still             3
sight,            1
hurrying          1
lost.             1
Away              1
wind              1
say,              2
turned            7
corner,           2
"Oh,              7
ears              1
whiskers,         1
how              11
late              3
it's              7
getting!"         1
behind            2
longer            1
seen.             1
long,             1
low               7
hall,             3
which            24
lit               1
row               1
lamps             1
hanging           1
roof.             1
doors             2
'round           10
locked;           1
been             10
side              8
other,            5
trying            3
every             3
door,             5
walked            6
sadly             1
middle,           2
wondering         1
ever              4
again.            8
Suddenly          3
little           56
table,            4
solid             1
glass.            2
tiny              3
golden            6
key,              3
Alice's           5
first            10
idea              6
might             6
belong            1
hall;             2
alas!             2
locks             1
large,            1
key               5
small,            1
any              44
rate,             4
open              4
them.             2
However,          7
second            4
'round,           4
curtain           1
before,           3
door             15
fifteen           1
inches            5
high.             4
lock,             1
delight,          1
fitted!           1
opened            6
led               4
small             8
passage,          1
larger            2
than              9
rat-hole;         1
knelt             1
along             4
loveliest         1
garden            4
saw.              1
How               2
longed            1
hall              2
wander            1
among             9
those             8
beds              1
bright            4
flowers           2
cool              2
fountains,        1
could            23
even              4
head              8
through          10
doorway.          1
"Oh,"             1
said            129
"how              1
shut              3
telescope!        1
if               26
only             14
knew              2
begin."           1
back             13
half             10
hoping            1
find             12
rules             3
shutting          2
people            7
telescopes.       1
bottle            6
("which           1
certainly         3
before,"          1
Alice),           1
tied              1
neck              4
paper             4
label,            1
words             3
"DRINK            1
ME"               2
beautifully       2
printed           3
letters.          1
"No,              3
I'll              9
first,"           1
said,            11
marked            7
'_poison_'        1
not,"             2
forgotten         2
drink             3
"poison,"         2
certain           4
disagree          1
you,              2
sooner            1
later.            1
_not_             4
ventured          2
taste             2
finding           2
nice              2
(it               2
sort              4
mixed             1
flavor            1
cherry-tart,      1
custard,          1
pineapple,        1
roast             1
turkey,           1
toffy             1
hot               2
buttered          1
toast),           1
finished          2
off.              4
*                 5
"What             9
curious           6
feeling!"         1
Alice.           27
must             20
telescope!"       1
And              13
indeed!           1
now              12
ten               5
high,             2
face              6
brightened        1
right             9
size              6
going            11
lovely            2
garden.           3
After             6
awhile,           1
more             15
happened,         1
decided           1
once;             1
alas              1
poor              8
Alice!            2
When              5
got              16
table             7
possibly          2
reach             3
it:               1
quite            19
plainly           1
glass             5
best              4
climb             1
legs              2
slippery,         1
trying,           2
thing            12
sat               5
cried.            1
"Come,            2
there's           6
crying            1
that!"            1
rather           10
sharply.          1
advise            1
leave             4
off              14
minute!"          1
generally         2
gave              5
good              8
advice            1
(though           1
seldom            1
followed          5
it),              1
sometimes         3
scolded           1
severely          1
bring             1
tears             2
eyes.             1
Soon              1
eye               1
box               2
lying             4
table:            1
cake,             1
"EAT              1
currants.         1
"Well,            7
eat               6
it,"              3
makes             5
grow              8
larger,           2
can              16
key;              1
smaller,          1
creep             1
door:             1
garden,           4
don't            13
care              3
happens!"         1
ate               1
anxiously         5
herself,          8
"Which            1
way?              1
Which             1
way?"             1
holding           2
hand              9
top               3
growing;          1
surprised         4
remained          2
same             11
size.             1
set              16
work             37
cake.             1
II--THE           1
POOL              1
TEARS             1
"Curiouser        1
curiouser!"       1
cried            10
(she              3
forgot            2
speak             2
English).         1
"Now              2
I'm              12
opening           2
largest           1
telescope         1
was!              1
Good-by,          1
feet!             1
Oh,               3
wonder            4
who              18
will             12
your             25
shoes             1
stockings         1
now,              2
dears?            1
deal              5
far               4
myself            1
you."             2
Just              7
struck            2
against           6
roof              2
fact,             2
nine              3
feet              7
once              6
door.             1
Poor              2
side,             1
eye;              1
hopeless          1
ever.             1
cry               3
shedding          1
gallons           1
tears,            1
until             2
pool              5
reaching          2
hall.             1
heard            17
pattering         3
distance          2
hastily           4
dried             1
coming.           2
returning,        1
splendidly        1
dressed,          1
pair              4
white             6
kid-gloves        4
fan               8
other.            4
He                3
trotting          2
hurry,            1
muttering         2
himself,          1
"Oh!              1
Duchess,          4
Duchess!          3
Oh!               1
_won't_           1
savage            1
I've              7
kept              6
waiting!"         1
near             11
her,              6
began,            3
low,              4
timid             2
voice,            7
"If               5
please,           1
sir--"            1
violently,        1
dropped           4
skurried          1
darkness          1
hard              5
he               20
go.               1
gloves            4
fanning           1
talking.          2
"Dear,            1
queer             1
everything        2
to-day!           1
yesterday         1
things            4
usual.            1
_Was_             1
morning?          1
same,             1
next             10
question          5
is,               4
'Who              1
world             3
am                4
I?'               1
Ah,               1
_that's_          1
puzzle!"          1
As                6
this,             9
hands             4
Rabbit's          2
while             4
"How              5
_can_             2
have             22
done              2
that?"            3
thought.          3
growing           6
again."           1
measure           1
two               8
high              4
shrinking         4
rapidly.          1
cause             3
hastily,          2
save              2
altogether.       1
"That             1
_was_             3
narrow            1
escape!"          1
frightened        3
sudden            3
change,           2
glad              3
existence.        1
"And              2
garden!"          1
speed             1
door;             1
again             7
before.           1
"Things           1
are              32
worse             1
ever,"            2
child,            1
"for              1
never!"           1
these             8
words,            2
foot              6
slipped,          1
splash!           1
chin              3
salt-water.       1
Her               2
somehow           1
fallen            3
sea.              1
wept              1
something         8
splashing         1
swam              3
nearer            1
was:              1
mouse             2
slipped           1
"Would            3
use,              1
now,"             2
"to               1
mouse?            1
Everything        1
out-of-the-way    1
likely            1
talk;             1
harm              1
trying."          1
"O                1
Mouse,            5
do               31
know             13
pool?             1
swimming          2
here,             1
O                 1
Mouse!"           1
Mouse            14
inquisitively     1
wink              1
eyes,             2
nothing.          1
"Perhaps          1
doesn't           3
understand        2
English,"         1
dare              1
French            2
mouse,            2
over             11
William           2
Conqueror."       1
again:            1
"Où               1
est               1
ma                1
chatte?"          1
sentence          5
