Date,Open,High,Low,Close,Adj Close,Volume
2018-01-14,2.000000,2.000000,1.760000,1.830000,1.830000,185909079
2018-01-15,1.830000,1.880000,1.630000,1.660000,1.660000,178452052
2018-01-16,1.660000,1.680000,0.869600,1.150000,1.150000,970771226
2018-01-17,1.150000,1.380000,0.874700,1.310000,1.310000,929665358
2018-01-18,1.310000,1.730000,1.230000,1.570000,1.570000,877858800
2018-01-19,1.570000,1.680000,1.470000,1.540000,1.540000,401871655
2018-01-20,1.540000,1.630000,1.480000,1.570000,1.570000,249160785
2018-01-21,1.570000,1.570000,1.310000,1.370000,1.370000,345641735
2018-01-22,1.370000,1.420000,1.140000,1.340000,1.340000,392473700
2018-01-23,1.340000,1.440000,1.180000,1.340000,1.340000,421893589
2018-01-24,1.340000,1.420000,1.290000,1.360000,1.360000,245746147
2018-01-25,1.360000,1.380000,1.280000,1.300000,1.300000,137374141
2018-01-26,1.300000,1.320000,1.110000,1.210000,1.210000,249741656
2018-01-27,1.210000,1.240000,1.180000,1.220000,1.220000,107159051
2018-01-28,1.220000,1.390000,1.220000,1.360000,1.360000,160930675
2018-01-29,1.360000,1.370000,1.250000,1.270000,1.270000,130238546
2018-01-30,1.270000,1.270000,1.090000,1.110000,1.110000,216780182
2018-01-31,1.110000,1.150000,1.020000,1.140000,1.140000,155671721
2018-02-01,1.140000,1.140000,0.895800,0.950300,0.950300,243922158
2018-02-02,0.950300,0.961000,0.658600,0.898900,0.898900,516429237
2018-02-03,0.898900,1.020000,0.779200,0.959500,0.959500,257361990
2018-02-04,0.959500,0.967800,0.779300,0.816600,0.816600,188852901
2018-02-05,0.816600,0.835000,0.639200,0.680500,0.680500,286445005
2018-02-06,0.680500,0.778500,0.572200,0.761900,0.761900,343075949
2018-02-07,0.761900,0.813200,0.695900,0.715700,0.715700,167590807
2018-02-08,0.715700,0.788700,0.711000,0.781000,0.781000,121529485
2018-02-09,0.781000,0.928000,0.740700,0.920100,0.920100,216317336
2018-02-10,0.920100,1.230000,0.905800,1.030000,1.030000,581681815
2018-02-11,1.030000,1.040000,0.892500,0.960700,0.960700,270280545
2018-02-12,0.960700,1.080000,0.957400,1.040000,1.040000,208832351
2018-02-13,1.040000,1.050000,0.965000,0.986600,0.986600,116730650
2018-02-14,0.986600,1.020000,0.980700,1.020000,1.020000,13450235
